epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.357,1.56744,55.3201,1.22953,2e-05,0.11092,0.01385,0.00559,1.94313,58.2679,1.57478,0.000367831,0.000367831,0.000367831
2,300.513,2.22295,33.3543,1.65408,5e-05,0.04706,0.00888,0.00181,2.7651,30.8977,2.07803,0.000713805,0.000713805,0.000713805
3,432.336,2.34141,15.1946,1.84467,0.0002,0.03445,0.00015,3e-05,2.86337,18.4977,2.69033,0.00103534,0.00103534,0.00103534
4,560.635,2.45024,8.64522,1.8382,0.00909,0.00588,0.00508,0.00246,2.80237,8.9392,1.94933,0.00100101,0.00100101,0.00100101
5,688.305,2.5163,6.43514,1.85816,0.00516,0.10504,0.03274,0.01569,2.83447,6.57089,2.06661,0.000964348,0.000964348,0.000964348
6,814.425,2.3242,5.55752,1.76523,0,0,0,0,2.79557,6.97087,2.04562,0.000927685,0.000927685,0.000927685
7,941.998,2.39498,5.4015,1.83413,0.00514,0.1,0.01515,0.00598,2.25884,5.51917,1.76581,0.000891022,0.000891022,0.000891022
8,1068.23,2.13398,5.11623,1.69148,0.00907,0.17227,0.01897,0.00863,2.18021,5.09398,1.68693,0.000854359,0.000854359,0.000854359
9,1198.4,2.16289,4.87968,1.67688,0.00724,0.29496,0.04006,0.02006,2.11814,5.02524,1.74139,0.000817696,0.000817696,0.000817696
10,1325.19,2.23719,4.99087,1.76461,0.00804,0.23193,0.0345,0.01178,2.12419,4.83034,1.62887,0.000781033,0.000781033,0.000781033
11,1451.9,2.02078,4.72186,1.59773,0.41572,0.07647,0.01409,0.00661,2.09488,5.13743,1.74395,0.00074437,0.00074437,0.00074437
12,1578.26,1.97417,4.71198,1.5717,0.01172,0.22017,0.03244,0.01625,2.11664,4.84223,1.59298,0.000707707,0.000707707,0.000707707
13,1703.87,1.9559,4.62055,1.59576,0.018,0.26303,0.06048,0.0324,2.05171,4.72434,1.60146,0.000671044,0.000671044,0.000671044
14,1830.5,1.95377,4.5348,1.52179,0.00867,0.40672,0.03474,0.01507,2.11958,4.25023,1.64959,0.000634381,0.000634381,0.000634381
15,1956.4,1.85002,4.22382,1.49778,0.04834,0.19412,0.08469,0.04616,1.96253,4.72547,1.55305,0.000597718,0.000597718,0.000597718
16,2082.7,1.82317,4.34329,1.45346,0.02958,0.18908,0.05433,0.02553,2.01024,4.63919,1.56869,0.000561055,0.000561055,0.000561055
17,2209.52,1.8385,4.06096,1.48868,0.8338,0.06471,0.05122,0.02637,1.92567,3.97899,1.47666,0.000524392,0.000524392,0.000524392
18,2336.09,1.83885,3.95944,1.44378,0.84399,0.05882,0.10458,0.0577,1.87235,3.791,1.46613,0.000487729,0.000487729,0.000487729
19,2462.94,1.76327,4.055,1.42039,0.68977,0.09076,0.07944,0.0421,1.82137,3.91829,1.43076,0.000451066,0.000451066,0.000451066
20,2591.93,1.8427,3.88697,1.5161,0.68857,0.10588,0.17685,0.09687,1.84066,3.67473,1.43011,0.000414403,0.000414403,0.000414403
21,2718.3,1.49043,3.32208,1.24065,0.7208,0.11513,0.18767,0.10457,1.8073,3.59652,1.41863,0.00037774,0.00037774,0.00037774
22,2841.53,1.55458,3.41503,1.29182,0.80819,0.06387,0.13519,0.08042,1.7896,3.80727,1.45211,0.000341077,0.000341077,0.000341077
23,2967.21,1.49209,3.25084,1.25653,0.74415,0.13277,0.15767,0.09726,1.80295,3.50281,1.43153,0.000304414,0.000304414,0.000304414
24,3091.96,1.5003,3.21781,1.28178,0.60114,0.1437,0.14773,0.0771,1.85329,3.40364,1.47772,0.000267751,0.000267751,0.000267751
25,3216.65,1.48147,3.24799,1.23371,0.72401,0.14706,0.1637,0.09502,1.78635,3.30978,1.4516,0.000231088,0.000231088,0.000231088
26,3342.45,1.35813,2.90752,1.16333,0.5691,0.17227,0.15037,0.08704,1.74496,3.37507,1.418,0.000194425,0.000194425,0.000194425
27,3467.13,1.35268,2.83901,1.13534,0.73459,0.1521,0.17984,0.10198,1.74102,3.38796,1.41867,0.000157762,0.000157762,0.000157762
28,3593.78,1.31697,2.7514,1.13572,0.67247,0.19137,0.18671,0.11156,1.74106,3.20741,1.37748,0.000121099,0.000121099,0.000121099
29,3719.38,1.36981,2.84344,1.18062,0.66556,0.18655,0.20415,0.11507,1.6997,3.20634,1.37184,8.4436e-05,8.4436e-05,8.4436e-05
30,3843.97,1.34649,2.84954,1.1242,0.69606,0.1437,0.18872,0.11014,1.75391,3.22008,1.39322,4.7773e-05,4.7773e-05,4.7773e-05
