epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.268,1.32663,52.7241,0.94625,1e-05,0.06303,0.00013,9e-05,1.70382,84.3183,1.26668,0.000369078,0.000369078,0.000369078
2,334.813,1.85416,29.2931,1.3686,3e-05,0.14034,4e-05,1e-05,2.13148,6524.81,1.62977,0.000715011,0.000715011,0.000715011
3,465.166,1.99764,11.5909,1.48857,0.00299,0.04118,0.00459,0.00188,2.25109,10.8809,1.58201,0.0010365,0.0010365,0.0010365
4,591.782,2.15526,6.56226,1.50748,0,0,0,0,2.04847,7.32363,1.54143,0.00100101,0.00100101,0.00100101
5,717.413,2.02594,4.96648,1.49206,0.00395,0.1,0.01879,0.00545,1.93237,5.29506,1.42675,0.000964348,0.000964348,0.000964348
6,841.372,2.01923,4.54361,1.54596,0.01481,0.01176,0.0086,0.00299,2.0947,5.24546,1.53009,0.000927685,0.000927685,0.000927685
7,967.029,1.94845,4.41526,1.4544,0.00239,0.11176,0.0163,0.00736,1.90424,4.55937,1.39963,0.000891022,0.000891022,0.000891022
8,1091.86,1.80136,4.02742,1.37251,0.00359,0.13697,0.00826,0.00234,2.01338,4.26014,1.45106,0.000854359,0.000854359,0.000854359
9,1217.34,1.78819,3.97699,1.41995,0.00449,0.15798,0.02013,0.00585,1.80788,3.94771,1.49113,0.000817696,0.000817696,0.000817696
10,1346.76,1.76854,3.86864,1.36432,0.40928,0.08824,0.01724,0.0053,1.71999,4.1174,1.41955,0.000781033,0.000781033,0.000781033
11,1474.37,1.68716,3.81368,1.3318,0.61216,0.08824,0.01741,0.00664,1.68348,3.77122,1.30879,0.00074437,0.00074437,0.00074437
12,1603.95,1.76956,3.79715,1.37817,0.00711,0.32101,0.0255,0.01003,1.7327,4.03135,1.38979,0.000707707,0.000707707,0.000707707
13,1730.17,1.60125,3.49303,1.24525,0.01893,0.17143,0.03827,0.01325,1.6862,3.53929,1.29738,0.000671044,0.000671044,0.000671044
14,1858.31,1.6805,3.67001,1.33052,0.00645,0.35546,0.03496,0.01385,1.67692,3.48112,1.36742,0.000634381,0.000634381,0.000634381
15,1985.9,1.52605,3.49768,1.20346,0.00615,0.27311,0.03571,0.01339,1.6662,3.47345,1.33426,0.000597718,0.000597718,0.000597718
16,2114.16,1.52336,3.47183,1.28298,0.0096,0.29244,0.02275,0.01052,1.65061,3.39323,1.32674,0.000561055,0.000561055,0.000561055
17,2240.16,1.47104,3.2263,1.15415,0.44419,0.18319,0.07559,0.03399,1.63825,3.06083,1.25592,0.000524392,0.000524392,0.000524392
18,2366.04,1.4356,3.08602,1.13012,0.84267,0.01429,0.07496,0.04057,1.53481,3.07998,1.19748,0.000487729,0.000487729,0.000487729
19,2495.21,1.51178,3.49776,1.23845,0.00705,0.44706,0.06451,0.02691,1.60128,3.30472,1.21018,0.000451066,0.000451066,0.000451066
20,2621.15,1.35205,3.03966,1.09338,0.69386,0.12727,0.09688,0.04783,1.52593,2.89446,1.17892,0.000414403,0.000414403,0.000414403
21,2744.42,1.06134,2.46491,0.89879,0.7448,0.0958,0.0913,0.04378,1.54548,3.08966,1.25341,0.00037774,0.00037774,0.00037774
22,2865.88,1.19141,2.52295,1.00646,0.6802,0.06891,0.10199,0.04803,1.54318,2.86361,1.20773,0.000341077,0.000341077,0.000341077
23,2988.56,1.15971,2.50549,0.95497,0.92644,0.05714,0.0977,0.05951,1.47829,2.87667,1.15871,0.000304414,0.000304414,0.000304414
24,3110.49,1.10434,2.3711,0.92011,0.68423,0.12353,0.11498,0.06718,1.46272,2.72577,1.14835,0.000267751,0.000267751,0.000267751
25,3233.02,1.17822,2.48858,0.99999,0.68948,0.10672,0.11213,0.06299,1.49119,2.78241,1.13647,0.000231088,0.000231088,0.000231088
26,3357.13,1.05301,2.22265,0.91006,0.95374,0.07143,0.13325,0.07659,1.44492,3.11866,1.12459,0.000194425,0.000194425,0.000194425
27,3479.08,0.9943,2.20925,0.85353,0.59007,0.11759,0.13242,0.0779,1.44167,2.80572,1.12056,0.000157762,0.000157762,0.000157762
28,3603.47,1.03577,2.16851,0.90677,0.56203,0.1958,0.1356,0.07329,1.46342,2.82057,1.1341,0.000121099,0.000121099,0.000121099
29,3725.35,1.04824,2.145,0.89281,0.54686,0.16768,0.14746,0.08216,1.41118,2.62878,1.10113,8.4436e-05,8.4436e-05,8.4436e-05
30,3848.18,1.02256,2.14287,0.87886,0.57279,0.17227,0.14501,0.07678,1.44379,2.63858,1.10899,4.7773e-05,4.7773e-05,4.7773e-05
