# ID,label,Linearity,Sphericity,Planarity,Verticality,Hull Area,Relative Height
   0.00000,   0.00000,   0.70143,   0.01788,   0.28066,   0.86075,  46.98954,   5.02000
   1.00000,   0.00000,   0.22824,   0.05832,   0.71340,   0.98627,  53.22318,   3.60000
   2.00000,   0.00000,   0.36718,   0.15586,   0.47692,   0.01981, 239.90445,   7.49000
   3.00000,   0.00000,   0.59589,   0.15477,   0.24932,   0.09052, 265.78952,   7.07000
   4.00000,   0.00000,   0.19935,   0.04267,   0.75794,   0.99928, 332.97028,   5.21000
   5.00000,   0.00000,   0.13887,   0.04635,   0.81474,   0.02665, 102.33717,   3.70000
   6.00000,   0.00000,   0.58984,   0.03123,   0.37890,   0.88061,  85.87453,   1.66000
   7.00000,   0.00000,   0.33788,   0.44099,   0.22109,   0.27783, 365.96097,   3.75000
   8.00000,   0.00000,   0.34282,   0.28252,   0.37463,   0.83555, 227.85353,   5.77000
   9.00000,   0.00000,   0.71332,   0.15441,   0.13226,   0.37498, 180.44446,   6.66000
  10.00000,   0.00000,   0.10398,   0.22234,   0.67363,   0.03459, 192.89429,   3.59000
  11.00000,   0.00000,   0.37830,   0.18365,   0.43802,   0.32515, 277.18469,   6.65000
  12.00000,   0.00000,   0.36896,   0.13135,   0.49966,   0.88020,  50.15804,   4.32000
  13.00000,   0.00000,   0.85086,   0.11311,   0.03602,   0.06543, 172.55748,   5.85000
  14.00000,   0.00000,   0.09281,   0.05667,   0.85048,   0.05968, 184.25580,   4.82000
  15.00000,   0.00000,   0.51076,   0.38580,   0.10340,   0.68396, 765.83606,   9.57000
  16.00000,   0.00000,   0.12338,   0.05580,   0.82078,   0.05703, 137.01289,   5.06000
  17.00000,   0.00000,   0.13840,   0.02356,   0.83800,   0.00295, 208.93623,   2.72000
  18.00000,   0.00000,   0.26612,   0.09989,   0.63395,   0.01025,  31.18900,   2.92000
  19.00000,   0.00000,   0.05145,   0.23290,   0.71559,   0.07747, 157.60658,   5.88000
  20.00000,   0.00000,   0.51147,   0.17660,   0.31190,   0.95302, 159.40784,   6.99000
  21.00000,   0.00000,   0.23074,   0.03529,   0.73393,   0.09175, 188.95256,   4.37000
  22.00000,   0.00000,   0.30613,   0.07043,   0.62340,   0.96298, 470.96478,   8.13000
  23.00000,   0.00000,   0.06169,   0.03085,   0.90742,   0.89907, 389.76498,   8.38000
  24.00000,   0.00000,   0.26756,   0.20589,   0.52651,   0.93472, 215.41841,   4.66000
  25.00000,   0.00000,   0.43348,   0.03219,   0.53430,   0.89369, 110.51012,   2.12000
  26.00000,   0.00000,   0.19457,   0.09006,   0.71532,   0.99263, 249.50665,   7.72000
  27.00000,   0.00000,   0.34051,   0.08748,   0.57198,   0.08284,  80.21077,   3.03000
  28.00000,   0.00000,   0.22146,   0.29452,   0.48397,   0.97482, 181.70844,   5.61000
  29.00000,   0.00000,   0.58567,   0.06256,   0.35174,   0.98922, 294.14636,   4.31000
  30.00000,   0.00000,   0.57289,   0.13752,   0.28957,   0.31950, 269.60358,   7.49000
  31.00000,   0.00000,   0.26987,   0.08029,   0.64980,   0.95798, 358.45328,   7.64000
  32.00000,   0.00000,   0.42316,   0.07062,   0.50618,   0.10983, 112.81466,   3.53000
  33.00000,   0.00000,   0.06371,   0.25115,   0.68511,   0.03449,  57.98563,   6.90000
  34.00000,   0.00000,   0.69046,   0.12577,   0.18375,   0.26207, 467.45523,   8.35000
  35.00000,   0.00000,   0.00978,   0.22162,   0.76855,   0.07591, 200.04341,   6.74000
  36.00000,   0.00000,   0.72208,   0.21799,   0.05991,   0.42344, 162.12274,   7.29000
  37.00000,   0.00000,   0.23231,   0.10219,   0.66546,   0.99013, 234.70467,   6.93000
  38.00000,   0.00000,   0.40534,   0.10829,   0.48636,   0.31155, 180.44153,   5.82000
  39.00000,   0.00000,   0.46346,   0.03445,   0.50206,   0.05495,  39.70953,   2.85000
  40.00000,   0.00000,   0.25816,   0.25235,   0.48945,   0.46115,  50.67211,   3.44000
  41.00000,   0.00000,   0.32968,   0.03172,   0.63856,   0.95799,  70.52206,   3.50000
  42.00000,   0.00000,   0.75022,   0.20054,   0.04924,   0.11972, 234.41676,   6.76000
  43.00000,   0.00000,   0.60913,   0.23095,   0.15989,   0.18094, 267.97571,   8.13000
  44.00000,   0.00000,   0.08672,   0.65913,   0.25410,   0.05369, 289.01459,   4.83000
  45.00000,   0.00000,   0.69734,   0.15028,   0.15235,   0.30109, 169.69267,   6.61000
  46.00000,   0.00000,   0.21507,   0.31291,   0.47199,   0.02546, 121.09467,   8.29000
  47.00000,   0.00000,   0.18969,   0.04306,   0.76720,   0.97309, 368.82187,   8.00000
  48.00000,   0.00000,   0.59138,   0.13891,   0.26968,   0.78530,  97.99865,   5.52000
  49.00000,   0.00000,   0.39371,   0.25218,   0.35408,   0.59328, 143.38541,   7.57000
  50.00000,   0.00000,   0.46230,   0.16905,   0.36862,   0.84384, 215.28818,   4.89000
  51.00000,   0.00000,   0.71945,   0.16337,   0.11716,   0.24731, 218.13708,   4.82000
  52.00000,   0.00000,   0.17991,   0.07398,   0.74606,   0.96379, 392.70761,   9.35000
  53.00000,   0.00000,   0.28572,   0.11532,   0.59893,   0.05190,  71.70038,   4.15000
  54.00000,   0.00000,   0.12333,   0.02334,   0.85329,   0.00100, 352.29965,  10.97000
  55.00000,   0.00000,   0.48928,   0.24894,   0.26176,   0.50768, 374.58926,   9.15000
  56.00000,   0.00000,   0.10172,   0.03228,   0.86595,   0.04892, 164.58997,   4.78000
  57.00000,   0.00000,   0.51828,   0.19456,   0.28713,   0.20600, 247.32991,   6.45000
  58.00000,   0.00000,   0.46272,   0.09615,   0.44110,   0.01015,  58.97221,   3.58000
  59.00000,   0.00000,   0.20308,   0.02876,   0.76812,   0.00568, 219.53967,   4.30000
  60.00000,   0.00000,   0.66962,   0.08772,   0.24265,   0.65691,3478.11670,   9.45000
  61.00000,   0.00000,   0.22128,   0.54309,   0.23559,   0.61181, 158.35512,   4.85000
  62.00000,   0.00000,   0.32347,   0.50424,   0.17225,   0.97800, 111.88171,   5.33000
  63.00000,   0.00000,   0.56703,   0.03398,   0.39896,   0.85346, 114.87693,   3.71000
  64.00000,   0.00000,   0.40090,   0.39597,   0.20310,   0.26353, 818.74066,   9.42000
  65.00000,   0.00000,   0.17613,   0.03679,   0.78704,   0.98056,  58.76180,   1.50000
  66.00000,   0.00000,   0.41691,   0.17833,   0.40472,   0.04948, 261.61612,   4.62000
  67.00000,   0.00000,   0.12831,   0.03329,   0.83835,   0.97704, 152.89128,   7.14000
  68.00000,   0.00000,   0.45450,   0.27030,   0.27516,   0.08185, 248.82475,   8.56000
  69.00000,   0.00000,   0.31096,   0.05743,   0.63157,   0.97925, 370.51959,   7.49000
  70.00000,   0.00000,   0.78590,   0.19999,   0.01408,   0.88414, 213.33684,   7.15000
  71.00000,   0.00000,   0.69085,   0.02858,   0.28055,   0.99936,  45.14034,   2.76000
  72.00000,   0.00000,   0.22414,   0.05073,   0.72509,   0.97986,  93.72715,   4.23000
  73.00000,   0.00000,   0.12016,   0.04364,   0.83615,   0.00381, 435.18896,  10.21000
  74.00000,   0.00000,   0.19196,   0.05776,   0.75024,   0.00096, 304.26672,   7.94000
  75.00000,   0.00000,   0.43808,   0.10821,   0.45369,   0.32864, 111.81649,   4.37000
  76.00000,   0.00000,   0.47739,   0.12817,   0.39440,   0.88859, 374.31976,  10.85000
  77.00000,   0.00000,   0.61801,   0.15405,   0.22792,   0.52051, 147.73758,   7.14000
  78.00000,   0.00000,   0.72191,   0.05446,   0.22362,   0.75149,  50.74828,   3.83000
  79.00000,   0.00000,   0.16751,   0.06673,   0.76572,   0.97298,  90.46072,   1.84000
  80.00000,   0.00000,   0.43870,   0.30604,   0.25523,   0.08875, 178.66815,   5.89000
  81.00000,   0.00000,   0.25338,   0.07217,   0.67443,   0.99327, 122.06044,   5.53000
  82.00000,   0.00000,   0.43081,   0.39906,   0.17009,   0.28974, 210.98706,   7.61000
  83.00000,   0.00000,   0.13145,   0.36924,   0.49926,   0.08942, 223.98956,   8.25000
  84.00000,   0.00000,   0.43416,   0.12680,   0.43900,   0.00995, 242.06973,   7.52000
  85.00000,   0.00000,   0.46844,   0.17672,   0.35481,   0.52304, 144.97005,   5.83000
  86.00000,   0.00000,   0.49685,   0.10787,   0.39525,   0.91775, 232.11243,   7.28000
  87.00000,   0.00000,   0.23723,   0.05152,   0.71120,   0.99340, 173.41170,   7.55000
  88.00000,   0.00000,   0.24837,   0.41458,   0.33700,   0.95849, 313.23380,   5.55000
  89.00000,   0.00000,   0.29175,   0.29953,   0.40868,   0.00465,  89.37711,   5.18000
  90.00000,   0.00000,   0.20524,   0.04053,   0.75418,   0.95438, 181.55719,   3.79000
  91.00000,   0.00000,   0.12496,   0.60458,   0.27041,   0.07196, 164.24080,   7.05000
  92.00000,   0.00000,   0.38528,   0.22495,   0.38974,   0.39337, 287.62842,   7.38000
  93.00000,   0.00000,   0.59639,   0.00721,   0.39637,   0.98968, 110.27412,   5.45000
  94.00000,   0.00000,   0.51645,   0.10397,   0.37956,   0.03599,  54.43378,   3.30000
  95.00000,   0.00000,   0.08497,   0.17208,   0.74291,   0.72965, 238.02341,   4.34000
