epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.394,1.25601,74.4115,1.00148,0,0.01176,0,0,1.64592,110.522,1.2841,0.000369078,0.000369078,0.000369078
2,472.055,1.64561,37.8099,1.24789,0.00285,0.03529,0.00173,0.00025,2.01841,37.7979,1.59053,0.000715011,0.000715011,0.000715011
3,664.804,1.96859,13.7816,1.57326,0,0,0,0,2.34194,15.7873,2.01413,0.0010365,0.0010365,0.0010365
4,856.09,2.01423,6.66933,1.54754,0,0,0,0,2.2286,7.09302,1.67162,0.00100101,0.00100101,0.00100101
5,1048.32,2.09103,5.01944,1.60952,0.00455,0.09412,0.00959,0.00319,2.05248,5.37615,1.60202,0.000964348,0.000964348,0.000964348
6,1241.89,2.09698,4.94045,1.7133,0.00741,0.02353,0.00457,0.00117,2.09638,5.32734,1.73774,0.000927685,0.000927685,0.000927685
7,1435.49,2.02582,4.72347,1.66841,0.00909,0.04706,0.01027,0.00416,1.9593,5.02973,1.56383,0.000891022,0.000891022,0.000891022
8,1628.66,1.82462,4.30681,1.47428,0.00112,0.09412,0.0191,0.00741,1.89737,4.55867,1.57577,0.000854359,0.000854359,0.000854359
9,1823.54,1.64537,4.09908,1.33036,0.00785,0.14622,0.01247,0.00649,1.69194,4.32644,1.44117,0.000817696,0.000817696,0.000817696
10,2018.41,1.78401,4.26152,1.55006,0.00169,0.14118,0.01571,0.00578,1.73834,3.98437,1.48607,0.000781033,0.000781033,0.000781033
11,2211.23,1.67151,3.96381,1.3719,0.00368,0.17563,0.01942,0.00742,1.6221,3.98225,1.40265,0.00074437,0.00074437,0.00074437
12,2403.88,1.56565,3.70914,1.33757,0.00529,0.16975,0.01963,0.00755,1.63542,3.83037,1.36183,0.000707707,0.000707707,0.000707707
13,2596.32,1.54979,3.59008,1.29586,0.01519,0.17731,0.05438,0.02953,1.81222,3.77668,1.45686,0.000671044,0.000671044,0.000671044
14,2788.16,1.70312,3.85499,1.40548,0.0091,0.24454,0.02389,0.01106,1.68097,3.68728,1.40035,0.000634381,0.000634381,0.000634381
15,2978.41,1.4244,3.59724,1.21528,0.02346,0.12269,0.02507,0.01526,1.54804,3.91046,1.31849,0.000597718,0.000597718,0.000597718
16,3167.87,1.43311,3.44921,1.18745,0.02401,0.26134,0.07509,0.03308,1.59906,3.49123,1.36257,0.000561055,0.000561055,0.000561055
17,3360.31,1.57584,3.67333,1.35851,0.00699,0.27563,0.05059,0.02279,1.55982,3.49038,1.32997,0.000524392,0.000524392,0.000524392
18,3551.88,1.53809,3.52314,1.29493,0.00435,0.32437,0.04028,0.01822,1.565,3.38251,1.31592,0.000487729,0.000487729,0.000487729
19,3742.88,1.53267,3.61335,1.32641,0.02074,0.39272,0.11895,0.06468,1.5889,3.43796,1.30834,0.000451066,0.000451066,0.000451066
20,3933.53,1.4609,3.40179,1.2746,0.7024,0.10689,0.07211,0.03084,1.62088,3.26622,1.30012,0.000414403,0.000414403,0.000414403
21,4118.91,1.124,2.70833,0.99138,0.04315,0.27815,0.0963,0.04506,1.5568,3.29211,1.25897,0.00037774,0.00037774,0.00037774
22,4304.22,1.14896,2.69003,0.98408,0.02432,0.29496,0.11269,0.05708,1.49776,3.06897,1.21445,0.000341077,0.000341077,0.000341077
23,4491.04,1.11977,2.6209,0.986,0.70837,0.09328,0.09978,0.04806,1.57657,3.07777,1.28343,0.000304414,0.000304414,0.000304414
24,4675.21,1.08259,2.47126,0.95251,0.71631,0.08336,0.11879,0.06105,1.51245,3.06355,1.22229,0.000267751,0.000267751,0.000267751
25,4861.58,1.1653,2.69144,1.04466,0.72395,0.10084,0.11279,0.05735,1.49971,2.9659,1.19712,0.000231088,0.000231088,0.000231088
26,5045.96,0.96742,2.3708,0.87767,0.7104,0.11416,0.11909,0.06202,1.46761,2.84861,1.17163,0.000194425,0.000194425,0.000194425
27,5229.57,0.99725,2.28322,0.90394,0.73244,0.10336,0.13648,0.07583,1.44506,2.8807,1.17291,0.000157762,0.000157762,0.000157762
28,5415.44,1.07728,2.3596,0.986,0.7151,0.13562,0.1209,0.06822,1.40736,2.72976,1.15485,0.000121099,0.000121099,0.000121099
29,5601.68,1.04809,2.36497,0.94053,0.70648,0.12941,0.12406,0.07146,1.426,2.74741,1.13975,8.4436e-05,8.4436e-05,8.4436e-05
30,5787.29,1.03123,2.3341,0.91889,0.72861,0.11513,0.13652,0.08295,1.41986,2.74324,1.14528,4.7773e-05,4.7773e-05,4.7773e-05
